time_bin_start,time_bin_end,mean,median,min,max,std,count
1754914495,1754914505,2.31,2.86,0.1695993216027136,4.791180835276658,1.94,7
1754914505,1754914515,0.44,0.21,0.0423998304006784,1.5687937248251005,0.64,5
1754914515,1754914525,0.98,0.47,0.0,2.6075895696417213,1.18,5
1754914525,1754914535,4.72,2.88,0.1695993216027136,12.105151579393683,4.97,6
1754914535,1754914545,6.59,6.0,5.511977952088191,9.412762348950604,1.42,7
1754914545,1754914555,5.41,5.7,4.133983464066144,6.232775068899724,0.9,5
1754914555,1754914565,3.4,2.59,0.0,6.741573033707865,2.69,5
1754914565,1754914575,5.39,6.08,2.6075895696417213,7.971168115327538,2.23,5
1754914575,1754914585,8.86,10.35,4.642781428874285,12.613949544201825,3.18,7
1754914585,1754914595,7.06,6.54,4.515581937672249,9.857960568157727,1.89,6
1754914595,1754914605,9.49,10.35,5.003179987280051,11.829552681789272,2.63,6
1754914605,1754914615,7.34,6.4,5.596777612889548,11.511553953784185,2.37,5
1754914615,1754914625,7.53,7.7,5.109179563281747,9.327962688149247,1.52,6
1754914625,1754914635,7.37,7.13,5.5755776976892095,10.197159211363156,1.72,6
1754914635,1754914645,4.55,4.11,2.459190163239347,7.271570913716345,1.79,5
1754914645,1754914655,5.75,6.15,3.0527877888488444,8.522365910536358,2.19,5
1754914655,1754914665,0.79,0.61,0.42399830400678395,1.6747933008267966,0.51,5
1754914665,1754914675,1.91,2.06,0.0635997456010176,5.681577273690905,1.91,7
1754914675,1754914685,2.87,2.63,0.3391986432054272,5.80877676489294,2.14,5
1754914685,1754914695,0.81,0.54,0.0,2.4379902480390077,0.88,6
1754914695,1754914705,0.17,0.0,0.0,0.8055967776128896,0.36,5
1754914705,1754914715,0.4,0.33,0.0,0.9327962688149248,0.47,4
1754914715,1754914725,0.31,0.31,0.0,0.5723977104091583,0.19,6
1754914725,1754914735,1.93,1.63,0.0,7.441170235319058,2.64,7
1754914735,1754914745,19.65,2.61,0.1483994064023744,48.187407250371,25.48,5
1754914745,1754914755,16.76,22.45,0.44519821920712316,27.390290438838242,14.35,3
1754914755,1754914765,2.41,0.32,0.0,9.00996396014416,4.41,4
1754914765,1754914775,0.0,0.0,0.0,0.0211999152003392,0.01,6
1754914775,1754914785,2.59,0.0,0.0,12.550349798600804,5.57,5
1754914785,1754914795,0.95,0.7,0.0,2.395590417638329,1.17,4
1754914795,1754914805,5.52,5.31,2.565189739241043,8.925164299342804,2.53,6
1754914805,1754914815,7.74,4.45,2.395590417638329,23.80750476998092,7.4,7
1754914815,1754914825,4.78,1.12,0.0,13.22874708501166,7.33,3
1754914825,1754914835,2.98,1.29,0.0,9.094763620945516,3.89,5
1754914835,1754914845,2.9,0.99,0.21199915200339198,9.412762348950604,4.39,4
1754914845,1754914855,6.02,2.62,0.0211999152003392,18.804324782700867,8.67,4
1754914855,1754914865,0.99,0.68,0.0211999152003392,2.565189739241043,0.99,5
1754914865,1754914875,0.32,0.36,0.0211999152003392,0.6147975408098367,0.21,7
1754914875,1754914885,0.46,0.21,0.0,1.3355946576213695,0.58,5
1754914885,1754914895,0.48,0.41,0.0,1.2507949968200127,0.48,6
1754914895,1754914905,0.35,0.04,0.0,1.7595929616281536,0.64,7
1754914905,1754914915,0.43,0.0,0.0,2.6075895696417213,1.06,6
1754914915,1754914925,0.34,0.19,0.0,0.8903964384142463,0.38,7
1754914925,1754914935,0.48,0.23,0.0,1.823192707229171,0.71,6
1754914935,1754914945,0.39,0.06,0.0,1.7383930464278143,0.75,5
1754914945,1754914955,0.06,0.01,0.0,0.21199915200339198,0.1,4
1754914955,1754914965,3.8,0.02,0.0,15.157939368242527,7.57,4
1754914965,1754914975,0.18,0.16,0.0,0.44519821920712316,0.16,6
1754914975,1754914985,0.23,0.03,0.0,0.6783972864108544,0.33,6
1754914985,1754914995,0.56,0.05,0.0,2.141191435234259,1.05,4
1754914995,1754915005,0.11,0.02,0.0,0.4027983888064448,0.2,4
1754915005,1754915015,0.03,0.02,0.0,0.0635997456010176,0.03,5
1754915015,1754915025,0.0,0.0,0.0,0.0,0.0,5
1754915025,1754915035,0.45,0.28,0.0,1.6323934704261183,0.68,5
1754915035,1754915045,0.34,0.11,0.0,1.0387958448166206,0.46,6
1754915045,1754915055,2.88,0.0,0.0,14.415942336230655,6.45,5
1754915055,1754915065,0.0,0.0,0.0,0.0,0.0,3
1754915065,1754915075,0.01,0.0,0.0,0.0211999152003392,0.01,3
1754915075,1754915085,0.04,0.01,0.0,0.1271994912020352,0.06,4
1754915085,1754915095,0.08,0.08,0.0,0.1695993216027136,0.12,2
1754915095,1754915105,0.67,0.0,0.0,1.7595929616281536,0.91,5
1754915105,1754915115,0.03,0.0,0.0,0.21199915200339198,0.08,7
1754915115,1754915125,1.93,0.84,0.0,7.250370998516006,2.83,6
1754915125,1754915135,0.08,0.0,0.0,0.4027983888064448,0.18,5
