timestamp,latency,tx_bitrate_mbps,latitude,longitude
1754910862,45.6,0.319,48.273186,11.668041
1754910863,47.8,0.269,48.273277,11.668136
1754910864,53.0,0.343,48.273367,11.66823
1754910865,53.3,0.389,48.273457,11.668323
1754910866,41.7,0.259,48.273546,11.668415
1754910867,40.3,0.308,48.273634,11.668505
1754910868,54.7,0.258,48.273722,11.668595
1754910869,45.1,0.298,48.27381,11.668687
1754910870,43.8,0.265,48.273897,11.668777
1754910871,53.7,0.26,48.273984,11.668868
1754910872,40.1,0.324,48.274073,11.668959
1754910873,45.0,0.347,48.274162,11.669051
1754910874,46.1,0.263,48.274252,11.669145
1754910875,44.9,0.316,48.274342,11.669239
1754910876,43.8,0.365,48.27443,11.669331
1754910877,36.9,0.258,48.274519,11.669423
1754910878,44.7,0.414,48.274607,11.669514
1754910879,62.9,0.253,48.274693,11.669604
1754910880,63.0,0.261,48.274781,11.669696
1754910881,42.0,0.271,48.274868,11.669787
1754910882,40.8,0.245,48.274954,11.669877
1754910883,49.9,0.422,48.27504,11.669968
1754910884,46.8,0.279,48.275125,11.670057
1754910885,44.0,0.202,48.27521,11.670145
1754910886,45.2,0.272,48.275297,11.670235
1754910887,51.7,0.398,48.275384,11.670324
1754910888,45.8,0.343,48.275471,11.670414
1754910889,43.9,0.245,48.275557,11.670504
1754910890,44.9,0.385,48.275644,11.670594
1754910891,45.5,0.263,48.27573,11.670684
1754910892,46.0,0.247,48.275817,11.670774
1754910893,45.9,0.309,48.275906,11.670865
1754910894,40.9,0.297,48.275995,11.670957
1754910895,54.4,0.239,48.276084,11.671049
1754910896,47.8,0.245,48.276173,11.671143
1754910897,37.3,0.238,48.276261,11.671236
1754910898,50.5,0.284,48.27635,11.671329
1754910899,56.9,0.292,48.276438,11.671422
1754910900,56.6,0.257,48.276526,11.671514
1754910901,44.7,0.317,48.276612,11.671605
1754910902,44.2,0.272,48.276698,11.671694
1754910903,60.1,0.311,48.276779,11.671779
1754910904,50.2,0.23,48.276853,11.671856
1754910905,54.9,0.255,48.276925,11.671929
1754910906,40.1,0.243,48.276994,11.672
1754910907,46.0,0.274,48.27706,11.672068
1754910908,44.3,0.304,48.277125,11.672135
1754910909,44.9,0.35,48.27719,11.672201
1754910910,37.2,0.274,48.277252,11.672264
1754910911,46.1,0.265,48.277313,11.672327
1754910912,57.7,0.242,48.277374,11.672391
1754910913,52.0,0.35,48.277437,11.672456
1754910914,53.0,0.418,48.277503,11.672526
1754910915,46.6,0.328,48.277571,11.6726
1754910916,41.9,0.288,48.277641,11.672676
1754910917,52.7,0.379,48.277712,11.672756
1754910918,57.8,0.251,48.277784,11.67284
1754910919,56.9,0.28,48.277858,11.672925
1754910920,44.9,0.364,48.277935,11.67301
