timestamp,latency,tx_bitrate_mbps,latitude,longitude,bw_timestamp,total,lost,time_interval
1754910635,47.1,0.389,48.262917,11.67049,1754913428,4717,0,1.088165
1754910636,57.7,0.366,48.262844,11.670461,1754913428,4717,0,1.088165
1754910636,57.7,0.366,48.262844,11.670461,1754913430,4717,0,1.521104
1754910637,41.7,0.268,48.26277,11.670434,1754913430,4717,0,1.521104
1754910637,41.7,0.268,48.26277,11.670434,1754915134,4717,19,1.097678
1754910638,52.9,0.318,48.262697,11.670407,1754913430,4717,0,1.521104
1754910638,52.9,0.318,48.262697,11.670407,1754915134,4717,19,1.097678
1754910639,59.7,0.348,48.262625,11.670378,1754913430,4717,0,1.521104
1754910639,59.7,0.348,48.262625,11.670378,1754915134,4717,19,1.097678
1754910640,46.5,0.451,48.262552,11.67035,1754913433,4717,7,1.326814
1754910640,46.5,0.451,48.262552,11.67035,1754915134,4717,19,1.097678
1754910641,50.9,0.33,48.26248,11.670321,1754913433,4717,7,1.326814
1754910641,50.9,0.33,48.26248,11.670321,1754915131,4717,0,1.110522
1754910642,44.9,0.369,48.262407,11.670293,1754913433,4717,7,1.326814
1754910642,44.9,0.369,48.262407,11.670293,1754913435,4717,0,1.116968
1754910642,44.9,0.369,48.262407,11.670293,1754915131,4717,0,1.110522
1754910643,47.1,0.344,48.262335,11.670265,1754913433,4717,7,1.326814
1754910643,47.1,0.344,48.262335,11.670265,1754913435,4717,0,1.116968
1754910643,47.1,0.344,48.262335,11.670265,1754915130,4717,0,1.092683
1754910643,47.1,0.344,48.262335,11.670265,1754915131,4717,0,1.110522
1754910644,43.3,0.302,48.262262,11.670238,1754913435,4717,0,1.116968
1754910644,43.3,0.302,48.262262,11.670238,1754913436,4717,3,1.225012
1754910644,43.3,0.302,48.262262,11.670238,1754915130,4717,0,1.092683
1754910644,43.3,0.302,48.262262,11.670238,1754915131,4717,0,1.110522
1754910645,43.4,0.421,48.262187,11.67021,1754913435,4717,0,1.116968
1754910645,43.4,0.421,48.262187,11.67021,1754913436,4717,3,1.225012
1754910645,43.4,0.421,48.262187,11.67021,1754915130,4717,0,1.092683
1754910646,52.5,0.22,48.262109,11.670181,1754913436,4717,3,1.225012
1754910646,52.5,0.22,48.262109,11.670181,1754913438,4717,0,1.392446
1754910646,52.5,0.22,48.262109,11.670181,1754915130,4717,0,1.092683
1754910647,37.1,0.385,48.26203,11.67015,1754913436,4717,3,1.225012
