timestamp,total,lost,time_interval,latitude,longitude
1754913951,4717,0,1.543335,48.315163,11.685628
1754913954,4717,0,3.053144,48.315133,11.685117
1754913956,4717,0,1.619074,48.315112,11.684769
1754913959,4717,16,1.946909,48.31508,11.68424
1754913961,4717,0,1.587709,48.315059,11.683883
1754913963,4717,2,1.395022,48.315038,11.683522
1754913964,4717,0,1.343947,48.315027,11.68334
1754913966,4717,0,1.089986,48.315005,11.682969
1754913968,4717,0,1.466401,48.314983,11.682586
1754913970,4717,1,1.781026,48.31496,11.68219
1754913972,4717,2,1.777759,48.314937,11.681783
1754913982,4717,372,8.978986,48.314819,11.679718
1754913983,4717,0,1.088267,48.314807,11.679513
1754913985,4717,0,1.106764,48.314783,11.679104
1754913987,4717,770,1.724655,48.31476,11.678694
1754913989,4717,1,1.084801,48.314737,11.678283
1754913991,4717,9,1.320998,48.314708,11.677869
1754913993,4717,1,1.557158,48.314675,11.677457
1754913994,4717,0,1.096702,48.314659,11.677251
1754913996,4717,17,1.079048,48.314625,11.676839
1754913997,4717,54,1.084841,48.314609,11.676634
1754913999,4717,100,1.095287,48.314575,11.676225
1754914000,4717,202,1.228348,48.314556,11.67602
1754914002,4717,180,1.095826,48.314509,11.675611
1754914003,4717,51,1.081026,48.314482,11.675407
1754914005,4717,0,1.084934,48.314427,11.675
1754914006,4717,0,1.197167,48.314399,11.674798
1754914008,4717,16,1.097675,48.314346,11.674402
1754914009,4717,0,1.081392,48.31432,11.67421
1754914011,4717,0,1.075513,48.314272,11.673852
1754914012,4717,0,1.16778,48.31425,11.67369
1754914015,4717,0,2.355061,48.314191,11.673246
1754914017,4717,0,1.773274,48.314161,11.673005
1754914019,4717,0,1.056706,48.314157,11.672799
1754914020,4717,0,1.097987,48.314175,11.67271
1754914021,4717,0,1.074829,48.3142,11.672629
1754914024,4717,665,2.375543,48.31418,11.672395
1754914027,4717,0,2.637241,48.31406,11.67217
1754914029,4717,0,1.790981,48.314023,11.671989
1754914032,4717,1,1.905876,48.313989,11.671742
1754914035,4717,2,2.447578,48.313965,11.671554
1754914036,4717,0,1.458312,48.313959,11.671504
1754914039,4717,0,1.813869,48.31394,11.671355
1754914041,4717,0,2.076377,48.313926,11.671248
1754914043,4717,1,1.836401,48.313913,11.67115
1754914045,4717,67,1.443907,48.313899,11.67105
1754914047,4717,96,1.550107,48.313884,11.670938
1754914049,4717,1,1.98829,48.313868,11.670817
1754914051,4717,16,1.343607,48.313852,11.670694
1754914053,4717,1,1.263894,48.313836,11.670568
1754914054,4717,1,1.115368,48.313828,11.670507
1754914056,4717,0,1.108581,48.313812,11.670384
1754914057,4717,4,1.086701,48.313802,11.670311
1754914058,4717,405,1.081471,48.313791,11.670229
1754914060,4717,12,1.096142,48.313765,11.670034
1754914061,4717,2,1.130134,48.31375,11.669924
1754914063,4717,0,1.17896,48.313717,11.669681
1754914065,4717,4,1.301483,48.313682,11.66943
1754914066,4717,0,1.246623,48.313667,11.66931
1754914069,4717,1376,1.946156,48.313639,11.669096
1754914071,4717,932,2.152194,48.313636,11.669071
1754914074,4717,2222,1.841714,48.313624,11.66898
1754914077,4717,1394,2.140575,48.313588,11.668713
1754914079,4717,2013,1.940418,48.31356,11.668512
1754914081,4717,2121,1.368629,48.31353,11.668285
1754914083,4717,1838,1.541967,48.313492,11.66801
1754914085,4717,2481,1.624465,48.313453,11.667722
1754914087,4717,2151,1.696986,48.313414,11.667438
1754914089,4717,2514,1.624126,48.313375,11.66715
1754914092,4717,1938,1.477396,48.31332,11.666737
1754914094,4717,2187,1.40403,48.313286,11.666496
1754914096,4717,2325,1.705242,48.313255,11.666272
1754914098,4717,2220,1.698521,48.313225,11.666062
1754914100,4717,1934,1.398244,48.313198,11.665874
1754914102,4717,1415,1.701384,48.313177,11.665733
1754914104,4717,2106,1.691144,48.313159,11.665611
1754914106,4717,1925,1.463113,48.31314,11.665489
1754914108,4717,1888,1.623142,48.313121,11.665367
1754914111,4717,1992,1.708714,48.313095,11.665196
1754914113,4717,2137,1.492976,48.313079,11.665098
1754914114,4717,1834,1.577756,48.313073,11.665061
1754914117,4717,1898,2.074701,48.313067,11.665019
1754914119,4717,2231,1.612354,48.313067,11.665019
1754914121,4717,2226,1.606182,48.313067,11.665019
1754914123,4717,1972,2.042823,48.313067,11.665019
1754914126,4717,2054,1.710704,48.313067,11.665019
1754914128,4717,2024,1.710693,48.313067,11.665019
1754914130,4717,2670,1.615151,48.313067,11.665019
1754914132,4717,2219,1.744562,48.313067,11.665019
1754914136,4717,1902,2.57443,48.313067,11.665019
1754914138,4717,2502,1.678088,48.313067,11.665018
1754914140,4717,2451,1.639046,48.313061,11.664983
1754914142,4717,2144,1.74541,48.313048,11.664899
1754914144,4717,2000,1.137075,48.31303,11.664791
1754914146,4717,0,1.118792,48.313005,11.664666
1754914148,4717,20,1.696048,48.312973,11.664512
1754914150,4717,1,1.14907,48.312939,11.664359
1754914151,4717,28,1.163618,48.31292,11.664279
1754914153,4717,1917,1.804214,48.312878,11.664096
1754914156,4717,1489,2.085022,48.312799,11.663773
1754914158,4717,2076,1.396228,48.312738,11.663548
1754914160,4717,1885,1.464433,48.312683,11.663345
1754914162,4717,1952,1.738231,48.312643,11.663193
1754914164,4717,2156,1.654909,48.31261,11.663072
1754914166,4717,2363,1.368198,48.312579,11.662956
1754914168,4717,1892,1.377377,48.312544,11.66282
1754914170,4717,1874,1.453036,48.312505,11.662675
1754914172,4717,1951,1.410917,48.312463,11.662522
1754914174,4717,2305,1.94076,48.312423,11.662378
1754914176,4717,2271,1.343379,48.312387,11.662251
1754914177,4717,1621,1.360974,48.312371,11.662198
1754914180,4717,2472,1.695358,48.312339,11.662081
1754914181,4717,2216,1.336907,48.312334,11.662065
1754914183,4717,2016,1.456869,48.312332,11.662061
1754914185,4717,2098,1.652942,48.312332,11.662061
1754914187,4717,1856,1.462115,48.312332,11.66206
1754914189,4717,1958,1.435146,48.312332,11.66206
1754914191,4717,2228,1.993772,48.312333,11.66206
1754914193,4717,1880,1.697273,48.312333,11.66206
1754914195,4717,2223,1.320916,48.312332,11.662059
1754914197,4717,2208,1.418751,48.312327,11.662039
1754914200,4717,1954,1.397857,48.312286,11.661888
1754914202,4717,2467,1.403378,48.312242,11.661728
1754914204,4717,2325,1.642704,48.31219,11.661541
1754914206,4717,2200,1.369799,48.312135,11.661346
1754914208,4717,2038,1.470768,48.312071,11.66112
1754914210,4717,1976,1.434187,48.312002,11.660872
1754914212,4717,2605,1.501843,48.311932,11.660618
1754914214,4717,2123,1.680719,48.311864,11.660372
1754914217,4717,1917,1.503364,48.311762,11.66001
1754914219,4717,1963,1.596988,48.311687,11.659742
1754914221,4717,1370,1.340276,48.311609,11.659463
1754914222,4717,2282,1.353375,48.311569,11.65932
1754914224,4717,2223,1.329118,48.311488,11.659031
1754914226,4717,1368,1.394608,48.31141,11.658753
1754914228,4717,1299,1.445788,48.311339,11.658498
1754914229,4717,974,1.308234,48.311307,11.658382
1754914231,4717,1561,1.364405,48.31125,11.658173
1754914233,4717,1696,1.540706,48.311192,11.657965
1754914235,4717,553,1.098962,48.311135,11.657757
1754914236,4717,466,1.084265,48.311106,11.657651
1754914238,4717,349,1.083557,48.311049,11.657443
1754914239,4717,352,1.088878,48.31102,11.657339
1754914241,4717,374,1.112605,48.310962,11.657136
1754914242,4717,221,1.088225,48.310935,11.65704
1754914244,4717,570,1.091993,48.310885,11.656864
1754914246,4717,342,1.086459,48.310838,11.656694
1754914249,4717,854,1.162867,48.310773,11.656454
1754914250,4717,630,1.091228,48.310753,11.656381
1754914252,4717,329,1.077941,48.310717,11.656249
1754914253,4717,563,1.095669,48.3107,11.656184
1754914255,4717,578,1.089407,48.310663,11.656046
1754914256,4717,477,1.087309,48.310643,11.655973
1754914257,4717,379,1.079081,48.310624,11.655901
1754914259,4717,515,1.095763,48.310588,11.655763
1754914260,4717,577,1.079254,48.310571,11.655702
1754914262,4717,427,1.074801,48.310536,11.655571
1754914263,4717,637,1.07522,48.310516,11.655501
1754914266,4717,257,1.811035,48.310453,11.655268
1754914267,4717,74,1.109456,48.310432,11.655189
1754914269,4717,16,1.227158,48.31039,11.655036
1754914272,4717,112,1.742284,48.310333,11.654824
1754914274,4717,262,1.088503,48.3103,11.654704
1754914275,4717,190,1.123755,48.310284,11.654648
1754914277,4717,246,1.076737,48.310245,11.654508
1754914278,4717,257,1.082397,48.310221,11.654426
1754914279,4717,438,1.091734,48.310196,11.654341
1754914281,4717,160,1.085488,48.310148,11.654179
1754914282,4717,267,1.079841,48.310124,11.654102
1754914284,4717,454,1.092729,48.310073,11.653938
1754914285,4717,270,1.072751,48.310044,11.653851
1754914287,4717,455,1.072978,48.309981,11.653669
1754914288,4717,460,1.084172,48.309951,11.653583
1754914289,4717,474,1.099643,48.309922,11.653504
1754914291,4717,475,1.09274,48.309865,11.653354
1754914292,4717,474,1.082881,48.309836,11.653278
1754914294,4717,280,1.082475,48.309781,11.653137
1754914295,4717,607,1.075797,48.309755,11.653068
1754914297,4717,943,1.085518,48.309703,11.652938
1754914298,4717,653,1.099538,48.309678,11.652874
1754914300,4717,343,1.077943,48.309625,11.652747
1754914301,4717,557,1.081089,48.309599,11.652682
1754914303,4717,469,1.092641,48.309546,11.652553
1754914304,4717,975,1.093322,48.309519,11.652486
1754914305,4716,746,1.074025,48.309491,11.652416
1754914307,4717,550,1.085611,48.309435,11.652276
1754914308,4717,315,1.077073,48.309409,11.65221
1754914310,4717,325,1.08146,48.309356,11.652078
1754914311,4717,166,1.092595,48.309329,11.652011
1754914314,4717,582,1.280934,48.30925,11.651809
1754914316,4717,1933,1.812196,48.309196,11.651674
1754914318,4717,15,1.773357,48.309144,11.651542
1754914320,4717,8,1.179047,48.309093,11.651413
1754914322,4717,14,1.314865,48.309041,11.651283
1754914323,4717,80,1.122335,48.309014,11.651216
1754914325,4717,8,1.098314,48.308963,11.651085
1754914326,4717,27,1.091788,48.308938,11.65102
1754914328,4717,105,1.088075,48.308884,11.650884
1754914330,4717,62,1.100881,48.308833,11.650755
1754914331,4717,66,1.087916,48.308808,11.650693
1754914334,4717,2567,1.99834,48.308747,11.650537
1754914336,4717,262,1.131447,48.30871,11.650441
1754914338,4717,342,1.079935,48.308675,11.650351
1754914339,4717,169,1.07213,48.308661,11.650314
1754914340,4717,408,1.071062,48.308648,11.650279
1754914343,4717,1607,2.038221,48.308606,11.65017
1754914345,4717,104,1.169419,48.308569,11.650075
1754914346,4717,13,1.115941,48.308549,11.650021
1754914348,4717,14,1.112708,48.308508,11.649912
1754914349,4717,6,1.114203,48.308487,11.649856
1754914351,4717,13,1.097735,48.308441,11.649736
1754914352,4717,4,1.144739,48.308418,11.649677
1754914354,4717,20,1.087165,48.308371,11.649559
1754914356,4717,3,1.163463,48.308321,11.649437
1754914357,4717,53,1.102933,48.308295,11.649373
1754914359,4717,153,1.095874,48.308241,11.649243
1754914360,4717,7,1.087078,48.308214,11.649177
1754914362,4717,2,1.137321,48.30816,11.649046
1754914363,4717,25,1.274472,48.308133,11.648982
1754914365,4717,7,1.195972,48.308082,11.648855
1754914367,4717,30,1.268376,48.308032,11.648731
1754914368,4717,21,1.155699,48.308006,11.648667
1754914370,4717,4,1.088562,48.307951,11.648534
1754914371,4717,2,1.089451,48.307924,11.648471
1754914373,4717,11,1.086366,48.307873,11.648351
1754914374,4717,128,1.096261,48.307847,11.64829
1754914376,4717,36,1.093436,48.307793,11.648161
1754914378,4717,1818,1.576961,48.30774,11.648032
1754914379,4717,2081,1.550677,48.307715,11.647971
1754914382,4717,2812,1.671978,48.307639,11.647792
1754914385,4717,2240,2.430107,48.307556,11.647594
1754914386,4717,15,1.117725,48.307528,11.647527
1754914389,4717,2665,1.620682,48.307447,11.647329
1754914392,4716,2012,1.921723,48.307371,11.647138
1754914394,4717,650,2.227719,48.30732,11.647012
1754914396,4717,611,1.080363,48.307271,11.646888
1754914397,4717,24,1.100524,48.307246,11.646826
1754914399,4717,16,1.109266,48.307195,11.646696
1754914401,4717,15,1.083337,48.307142,11.646562
1754914403,4717,3,1.576539,48.30709,11.64643
1754914406,4717,137,3.252715,48.307011,11.646236
1754914408,4717,3,1.195142,48.306961,11.646111
1754914409,4717,2,1.105407,48.306936,11.646047
1754914411,4717,33,1.09545,48.306884,11.645916
1754914412,4717,14,1.096385,48.306858,11.645851
1754914414,4717,4,1.094292,48.306807,11.645723
1754914415,4717,28,1.096551,48.30678,11.645657
1754914417,4717,18,1.102021,48.306727,11.645523
1754914419,4717,229,1.889107,48.306676,11.645394
1754914421,4717,0,1.403051,48.306626,11.645267
1754914424,4717,512,1.880996,48.306551,11.645079
1754914428,4717,27,4.11992,48.306455,11.644835
1754914430,4717,0,1.805315,48.306403,11.644705
1754914433,4717,0,1.980408,48.306325,11.644509
1754914435,4717,0,1.870588,48.306273,11.644377
1754914438,4717,280,1.979309,48.306194,11.64418
1754914440,4717,156,2.446278,48.30614,11.64405
1754914443,4717,54,2.295232,48.306059,11.643855
1754914446,4717,802,2.601441,48.305982,11.643665
1754914449,4717,753,2.273876,48.305901,11.643464
1754914452,4717,0,2.416593,48.305821,11.64327
1754914484,4717,107,1.158896,48.305121,11.641623
1754914486,4717,104,1.088123,48.305103,11.641582
1754914487,4717,70,1.078917,48.305098,11.641571
1754914489,4717,155,1.088791,48.305093,11.64156
1754914490,4717,231,1.094084,48.30509,11.641553
1754914492,4717,173,1.091991,48.305086,11.641544
1754914493,4717,174,1.091705,48.305086,11.641544
1754914495,4717,226,1.078683,48.30508,11.641529
1754914496,4717,185,1.097456,48.305068,11.641503
1754914498,4717,135,1.08964,48.305034,11.641425
1754914499,4717,171,1.087514,48.305015,11.641382
1754914501,4717,17,1.165948,48.304976,11.641294
1754914502,4717,21,1.289387,48.304954,11.641245
1754914504,4717,8,1.13116,48.304911,11.641145
1754914506,4717,11,1.516923,48.304869,11.641047
1754914509,4717,2,1.637367,48.3048,11.640888
1754914511,4717,10,1.103271,48.304751,11.640776
1754914512,4717,6,1.20508,48.304726,11.640718
1754914514,4717,74,1.090539,48.304677,11.640604
1754914516,4717,0,1.619615,48.304627,11.64049
1754914518,4717,87,1.709193,48.304577,11.640373
1754914520,4717,0,1.689319,48.304524,11.64025
1754914522,4717,22,1.198508,48.304469,11.64012
1754914523,4717,123,1.148104,48.304441,11.640054
1754914526,4717,200,1.216204,48.304358,11.639858
1754914527,4717,38,1.112244,48.304331,11.639794
1754914529,4717,8,1.242433,48.304276,11.639666
1754914530,4717,72,1.083182,48.304247,11.639599
1754914532,4717,447,1.084084,48.30419,11.639467
1754914533,4717,571,1.099593,48.304162,11.639402
1754914535,4717,274,1.079935,48.304106,11.639273
1754914536,4717,266,1.08638,48.304079,11.63921
1754914538,4717,283,1.091725,48.304025,11.639083
1754914539,4717,291,1.082421,48.303996,11.639017
1754914541,4717,260,1.073552,48.303939,11.638885
1754914542,4717,444,1.077786,48.303912,11.638823
1754914544,4717,357,1.085289,48.303858,11.638696
1754914545,4717,195,1.091515,48.303828,11.638627
1754914548,4717,290,1.073445,48.303743,11.638428
1754914550,4717,294,1.084772,48.30369,11.638303
1754914552,4717,269,1.077683,48.303636,11.63818
1754914554,4717,228,1.089443,48.303583,11.638056
1754914556,4717,105,1.106691,48.303527,11.637923
1754914558,4717,0,1.088304,48.303471,11.637793
1754914560,4717,122,1.109467,48.303416,11.637663
1754914562,4717,257,1.074971,48.303361,11.63753
1754914564,4717,318,1.089448,48.303312,11.637409
1754914565,4717,376,1.080162,48.303291,11.637357
1754914567,4717,123,1.081001,48.303252,11.63726
1754914569,4717,287,1.079862,48.30322,11.637178
1754914571,4717,169,1.093144,48.303183,11.637088
1754914573,4717,316,1.078398,48.303148,11.637002
1754914575,4717,543,1.078332,48.303119,11.636931
1754914576,4717,219,1.079441,48.303107,11.636899
1754914578,4717,343,1.081181,48.303083,11.636842
1754914579,4717,498,1.08394,48.303072,11.636816
1754914581,4717,595,1.076474,48.30305,11.636764
1754914583,4717,488,1.081899,48.30303,11.636717
1754914584,4717,241,1.076434,48.303022,11.636698
1754914586,4717,298,1.082809,48.30301,11.636671
1754914587,4717,465,1.085722,48.303008,11.636665
1754914589,4716,406,1.074056,48.303002,11.636651
1754914591,4717,312,1.080221,48.302999,11.636644
1754914593,4717,305,1.079681,48.302999,11.636644
1754914594,4717,213,1.098031,48.302999,11.636644
1754914596,4717,513,1.074924,48.302999,11.636644
1754914598,4717,546,1.077422,48.302999,11.636644
1754914599,4717,558,1.075972,48.302999,11.636644
1754914601,4717,371,1.07829,48.302999,11.636644
1754914602,4717,236,1.07846,48.302999,11.636644
1754914604,4717,463,1.090404,48.302999,11.636644
1754914606,4717,543,1.079066,48.302999,11.636644
1754914608,4717,302,1.087313,48.302999,11.636644
1754914610,4717,301,1.089229,48.302999,11.636644
1754914612,4717,264,1.080271,48.302999,11.636644
1754914614,4717,322,1.08651,48.302999,11.636644
1754914615,4717,372,1.086997,48.302999,11.636644
1754914617,4717,354,1.083882,48.302999,11.636644
1754914618,4717,440,1.086658,48.302999,11.636644
1754914620,4717,412,1.09308,48.302999,11.636644
1754914621,4717,312,1.087285,48.302999,11.636644
1754914623,4717,241,1.071068,48.302999,11.636644
1754914625,4717,369,1.080308,48.302999,11.636644
1754914627,4717,481,1.078813,48.302993,11.636629
1754914629,4717,304,1.077253,48.30297,11.636574
1754914630,4717,282,1.078834,48.302957,11.636544
1754914632,4717,386,1.075223,48.302929,11.636475
1754914633,4717,263,1.080394,48.302913,11.636435
1754914635,4717,241,1.076428,48.302876,11.636349
1754914638,4717,179,1.07747,48.302813,11.636198
1754914639,4717,343,1.082246,48.302791,11.636148
1754914641,4717,116,1.079946,48.302749,11.636051
1754914643,4717,194,1.076271,48.302707,11.635954
1754914645,4717,193,1.088841,48.302665,11.635855
1754914646,4717,327,1.077165,48.302641,11.6358
1754914648,4717,402,1.084866,48.302593,11.635692
1754914650,4717,290,1.079952,48.302544,11.635585
1754914654,4717,144,1.086585,48.302444,11.635365
1754914655,4717,20,1.083134,48.302419,11.635307
1754914657,4717,22,1.081217,48.302365,11.635188
1754914660,4717,79,1.085539,48.30228,11.635005
1754914661,4717,36,1.080543,48.30225,11.634942
1754914664,4717,29,1.166419,48.302164,11.634765
1754914665,4717,268,1.081473,48.302135,11.634707
1754914667,4717,18,1.073401,48.302078,11.634589
1754914668,4717,97,1.080581,48.302048,11.63453
1754914670,4717,99,1.09118,48.301989,11.634411
1754914671,4717,3,1.093387,48.301961,11.634353
1754914673,4717,32,1.081242,48.301902,11.634238
1754914674,4717,114,1.085898,48.301873,11.634181
1754914676,4717,124,1.087852,48.301814,11.634067
1754914679,4717,191,1.078597,48.301724,11.633894
1754914680,4717,274,1.102091,48.301694,11.633835
1754914682,4717,71,1.094773,48.301634,11.633716
1754914683,4717,16,1.092512,48.301605,11.633659
1754914685,4717,115,1.08739,48.301549,11.633549
1754914686,4717,12,1.091093,48.30152,11.633493
1754914688,4717,50,1.088879,48.301463,11.633381
1754914691,4717,0,1.194214,48.301385,11.633231
1754914692,4717,16,1.0827,48.301361,11.633184
1754914694,4717,35,1.128459,48.301315,11.633095
1754914695,4717,1,1.25068,48.301293,11.633052
